Player,Squad,League,Pos,Age,Min,PrgP,PrgC,KP,Cmp%,Tkl,Int,Recov,Crs
Manuel Neuer,Bayern Munich,Bundesliga,GK,38,1980,10,0,1,86,1,0,54,0
Mats Hummels,Roma,Serie A,DF,35,915,26,4,2,89,30,26,41,2
Dante,Nice,Ligue 1,DF,40,1964,96,18,4,88.5,32,34,112,2
Kevin Vogt,Union Berlin,Bundesliga,DF,32,1367,70,11,2,88.1,12,9,90,0
Pascal Groß,Dortmund,Bundesliga,"MF,DF",33,2327,178,41,57,80.7,44,9,96,174
Thomas Müller,Bayern Munich,Bundesliga,"MF,FW",34,1225,50,24,35,75,8,2,24,46
Lewis Holtby,Holstein Kiel,Bundesliga,MF,33,1238,47,14,21,76.5,34,21,72,46
Mario Götze,Eint Frankfurt,Bundesliga,"MF,FW",32,1542,88,29,34,77.5,41,7,104,39
Oliver Baumann,Hoffenheim,Bundesliga,GK,34,2520,1,0,3,69.1,2,0,53,0
İlkay Gündoğan,Manchester City,Premier League,MF,33,2223,127,64,44,89.5,25,13,116,60
Jannik Vestergaard,Leicester City,Premier League,DF,31,1391,32,3,3,90.7,22,16,46,0
Kevin Trapp,Eint Frankfurt,Bundesliga,GK,34,2295,1,0,0,73.2,0,0,52,0
Robert Lewandowski,Barcelona,La Liga,FW,35,2667,48,27,19,73.4,10,3,45,5
Son Heung-Min,Tottenham,Premier League,FW,32,2110,111,96,50,78.9,17,5,85,78
Antonio Rüdiger,Real Madrid,La Liga,DF,31,2291,94,20,7,91.8,20,9,102,4
Bernd Leno,Fulham,Premier League,GK,32,3420,0,0,2,81.8,2,0,50,0
Danny Da Costa,Mainz 05,Bundesliga,DF,31,2006,109,21,10,78.4,42,27,98,22
Dominik Kohr,Mainz 05,Bundesliga,"DF,MF",30,2295,101,26,11,81.1,62,42,99,16
Joshua King,Toulouse,Ligue 1,"FW,MF",32,1673,29,39,17,70.7,11,6,60,9
Matthias Ginter,Freiburg,Bundesliga,DF,30,2561,113,11,9,82.6,30,19,93,13
Maximilian Arnold,Wolfsburg,Bundesliga,MF,30,2356,128,9,45,77.2,34,24,154,152
Mitchell Weiser,Werder Bremen,Bundesliga,"DF,MF",30,2868,125,65,42,73.9,61,22,152,78
Ricardo Rodríguez,Betis,La Liga,DF,31,1274,63,19,7,82,28,8,55,15
Willi Orban,RB Leipzig,Bundesliga,DF,31,2222,106,15,8,87.4,38,21,122,5
Christian Günter,Freiburg,Bundesliga,DF,31,2314,52,19,28,74.5,23,8,61,121
Emre Can,Dortmund,Bundesliga,"DF,MF",30,2105,116,20,8,89.5,50,20,113,11
