"Player","Squad","League","Age","progressive_passes_per90","progressive_carries_per90","key_passes_per90","tackles_per90","interceptions_per90","recoveries_per90","crosses_per90","pass_completion","defending_score","progression_index","age_score","scouting_score","role_profile"
"Abdel Abqar","Alavés","La Liga",25,2.88672350791717,0.584652862362972,0.292326431181486,1.31546894031669,1.42509135200974,3.17904993909866,0.182704019488429,76.6,5.91961023142509,1.35250966577795,0.75,2.54348693573871,"Balanced Defender"
"Abdoulaye Niakhate Ndiaye","Brest","Ligue 1",22,2.05623901581722,0.263620386643234,0.0527240773286467,2.58347978910369,0.579964850615114,3.79613356766257,0.105448154657293,86.4,6.95957820738137,0.866285443939312,0.9,2.70078763979014,"Balanced Defender"
"Aitor Paredes","Athletic Club","La Liga",24,2.92307937223245,0.199189819350288,0.116236921509464,0.705356792977781,1.09554400642658,3.81969072063952,0.0414764489204122,84.4,5.62059152004389,1.18214695213807,0.9,2.42343623686839,"Balanced Defender"
"Alberto Dossena","Cagliari","Serie A",24,2.69062814914343,0.27208599261001,0.362781323480013,1.66274773261673,1.36042996305005,5.74403762176688,0.0302317769566678,79.8,8.76721531743366,1.19135907122232,0.9,3.36650822371903,"Defensive Stopper"
"Aleksandar Sedlar","Alavés","La Liga",31,2.47357293868922,0.570824524312896,0.190274841437632,1.33192389006342,1.23678646934461,4.66173361522199,0,84.7,7.23044397463002,1.16617452026507,0.3,2.78030300049503,"Balanced Defender"
"Alessio Romagnoli","Lazio","Serie A",28,3.24761509746993,0.261302364164247,0.223973454997926,0.933222729158026,1.08253836582331,4.47946909995852,0.037328909166321,91.2,6.49523019493986,1.35413034260003,0.55,2.69142119552197,"Possession Defender"
"Alidu Seidu","Clermont Foot","Ligue 1",23,2.62599469496021,1.27320954907162,0.397877984084881,2.54641909814324,1.9893899204244,8.51458885941645,0.318302387267904,82.4,13.0503978779841,1.52535128524033,0.9,4.78765987749136,"Defensive Stopper"
"Amir Rrahmani","Napoli","Serie A",30,4.96770405167352,0.792718731650029,0.290663534938344,1.03053435114504,0.713446858485026,3.56723429242513,0.0264239577216676,91,5.3112155020552,2.19323896408177,0.55,2.67166023624927,"Ball Progressor"
"Andy Pelmard","Clermont Foot","Ligue 1",23,3.61324857811977,1.17430578788893,0.180662428905989,1.5356306457009,0.993643358982937,5.11876881900301,0.180662428905989,84.8,7.64804282368685,1.79428574894842,0.9,3.27692714668542,"Elite Progressive CB"
"Anthony Rouault","Rennes","Ligue 1",23,3.33333333333333,0.277777777777778,0.0925925925925926,1.11111111111111,0.740740740740741,4.44444444444444,0,91.6,6.2962962962963,1.35435150468616,0.9,2.70222949076335,"Possession Defender"
"Antonio Raillo","Mallorca","La Liga",31,3.28018223234624,0.984054669703872,0.328018223234624,1.23006833712984,1.51708428246014,4.3872437357631,0.082004555808656,85.4,7.13439635535308,1.64679810043458,0.3,2.94443814677975,"Elite Progressive CB"
"Antonio Rüdiger","Real Madrid","La Liga",31,3.69271060672196,0.785683107813182,0.274989087734614,0.785683107813182,0.353557398515932,4.00698384984723,0.157136621562636,91.8,5.14622435617634,1.7152704148367,0.3,2.38177547278758,"Ball Progressor"
"Ardian Ismajli","Empoli","Serie A",27,1.36363636363636,0.107655502392345,0.0717703349282297,1.07655502392344,2.00956937799043,2.97846889952153,0,86.8,6.06459330143541,0.56156438071335,0.75,2.28080374271596,"Balanced Defender"
"Aridane Hernández","Rayo Vallecano","La Liga",35,2.22746428055997,0.0878048780487805,0.167686534853514,0.837003896666186,0.636195699235099,4.3972579015731,0,86.8,5.87045749747438,0.900975713498861,0.3,2.26832753464186,"Balanced Defender"
"Arouna Sangante","Le Havre","Ligue 1",22,3.47266881028939,0.795819935691318,0.217041800643087,1.80868167202572,1.51929260450161,3.83440514469453,0.144694533762058,87.1,7.16237942122186,1.62109475326597,0.9,3.06425172767295,"Elite Progressive CB"
"Becir Omeragic","Montpellier","Ligue 1",22,2.55141745414119,1.05058365758755,0.150083379655364,1.60088938299055,0.650361311839911,3.7520844913841,0.350194552529183,92.1,6.00333518621456,1.35030491784081,0.9,2.61322252300069,"Possession Defender"
"Benoît Badiashile","Chelsea","Premier League",22,3.09417040358744,0.201793721973094,0.403587443946188,1.41255605381166,1.21076233183856,5.51569506726457,0.134529147982063,90.8,8.1390134529148,1.32757749172319,0.9,3.24353503256372,"Defensive Stopper"
"Botond Balogh","Parma","Serie A",22,1.62201656113005,0.306867998051632,0.0876765708718948,1.57817827569411,1.09595713589868,2.80565026790063,0.0438382854359474,89.3,5.47978567949342,0.730768908432137,0.9,2.20554326722088,"Possession Defender"
"Caleb Okoli","Frosinone","Serie A",22,3.64447494852437,0.679478380233356,0.15442690459849,1.72958133150309,0.895676046671242,5.06520247083047,0.061770761839396,81.8,7.6904598490048,1.62642158410457,0.9,3.21950658834327,"Elite Progressive CB"
"Calvin Bassey","Fulham","Premier League",23,2.42292661745549,0.586191923577942,0.0390794615718628,1.91489361702128,1.09422492401216,6.68258792878854,0.117238384715588,86,9.69170646982197,1.11001941907428,0.9,3.6175197085763,"Defensive Stopper"
"Cameron Burgess","Ipswich Town","Premier League",28,2.45295262816353,0.116807268007787,0.408825438027255,0.992861778066191,0.81765087605451,2.56975989617132,0,80.9,4.38027255029202,1.06260364319083,0.55,1.93002322236394,"Balanced Defender"
"Carl Starfelt","Celta Vigo","La Liga",29,2.08003069387236,0.319595970037691,0.159556449689085,1.52399847325816,1.30497065793031,4.1460165556068,0.0203068592057762,90.65,6.97498568679527,0.924760365783233,0.55,2.66304985235187,"Possession Defender"
"Catena","Osasuna","La Liga",28,2.73480662983425,0.177584846093133,0.21310181531176,1.17205998421468,0.5327545382794,4.58168902920284,0,81.7,6.28650355169692,1.1324840518715,0.55,2.53064468625768,"Balanced Defender"
"Chadi Riad","Betis","La Liga",20,1.41404805914972,0.166358595194085,0.0831792975970425,1.45563770794824,0.956561922365989,4.57486136783734,0,89.6,6.98706099815157,0.603821323140622,1,2.62724682870172,"Possession Defender"
"Chrislain Matsima","Clermont Foot","Ligue 1",21,3.43220338983051,0.991525423728814,0,1.3728813559322,0.991525423728814,5.11016949152542,0,86.9,7.47457627118644,1.61274580549993,1,3.17437120355591,"Elite Progressive CB"
"Christoph Zimmermann","Darmstadt 98","Bundesliga",30,2.50819672131148,0.516393442622951,0.221311475409836,2.4344262295082,1.54918032786885,3.90983606557377,0,82,7.89344262295082,1.16883211023572,0.55,3.02756563097953,"Defensive Stopper"
"Chumi","Almería","La Liga",24,2.51437962202136,0.406737880032868,0.147904683648316,1.25718981101068,0.517666392769104,3.43878389482334,0.0739523418241578,86.4,5.21364009860312,1.11223401520495,0.9,2.27538563566292,"Balanced Defender"
"Clément Lenglet","Atlético Madrid","La Liga",29,3.60547667342799,0.730223123732252,0.228194726166329,1.23225152129817,1.00405679513185,3.37728194726166,0.182555780933063,87.5,5.61359026369168,1.65052258242695,0.55,2.54178611207829,"Ball Progressor"
"Conor Coady","Leicester City","Premier League",31,1.68028004667445,0.157526254375729,0.0525087514585764,0.682613768961494,0.682613768961494,3.25554259043174,0,91.1,4.62077012835473,0.690441017220981,0.3,1.81350744539481,"Possession Defender"
"Craig Dawson","Wolves","Premier League",33,1.99637845178814,0.0407424173834314,0.366681756450883,1.22227252150294,0.651878678134903,4.07424173834314,0.0407424173834314,86.5,5.94839293798099,0.855545724988039,0.3,2.27323617138951,"Balanced Defender"
"Cristhian Mosquera","Valencia","La Liga",20,3.33534197047303,0.949081048508587,0,1.51852967761374,0.949081048508587,5.15215426333233,0.0542332027719193,90.5,7.61976498945466,1.56220558373413,1,3.20131173033005,"Elite Progressive CB"
"Cédric Kipré","Reims","Ligue 1",27,3.16438356164384,0.657534246575342,0.410958904109589,1.72602739726027,1.31506849315068,3,0.493150684931507,88.9,6.04109589041096,1.51399921315163,0.75,2.65682845238394,"Balanced Defender"
"César Montes","Almería","La Liga",26,2.61744966442953,0.352348993288591,0.201342281879195,1.10738255033557,0.553691275167785,3.22147651006711,0.151006711409396,77.1,4.88255033557047,1.14653468395663,0.75,2.15047897425379,"Balanced Defender"
"Dan-Axel Zagadou","Stuttgart","Bundesliga",24,4.64556090846524,0.12388162422574,0.18582243633861,1.30075705437027,1.2388162422574,6.75154852030282,0,86.6,9.29112181693049,1.81209086524565,0.9,3.77877289117741,"Elite Progressive CB"
"David García","Osasuna","La Liga",29,5.12853470437018,0.809768637532134,0.19280205655527,1.11825192802057,0.694087403598972,4.97429305912596,0.077120822622108,82.8,6.7866323907455,2.23089736803278,0.55,3.12114866443676,"Ball Progressor"
"David López","Girona","La Liga",33,2.47328244274809,0.687022900763359,0.183206106870229,1.51145038167939,0.916030534351145,5.54198473282443,0,92.8,7.96946564885496,1.20445189736226,0.3,3.02542045360139,"Defensive Stopper"
"David Torres","Valladolid","La Liga",21,2.40086517664023,0.713770728190339,0.0648882480173035,0.843547224224946,0.648882480173035,1.7519826964672,0.194664744051911,82.5,3.24441240086518,1.15351130944324,1,1.71722824403685,"Balanced Defender"
"David Zec","Holstein Kiel","Bundesliga",24,1.98572355613238,0.175210902011681,0.467229072031149,1.34328358208955,0.992861778066191,4.43867618429591,0.0584036340038936,87.7,6.77482154445165,0.926795104686021,0.9,2.6708645052099,"Balanced Defender"
"Denis Vavro","Wolfsburg","Bundesliga",28,3.51076798049573,0.329134498171475,0.255993498577814,0.767980495733442,1.35310849248273,3.25477448191792,0.292563998374644,86.9,5.37586347013409,1.48399650937442,0.55,2.40325764479,"Balanced Defender"
"Diego Carlos","Aston Villa","Premier League",30,2.92400881057269,0.198237885462555,0.148678414096916,1.33810572687225,0.644273127753304,3.86563876651982,0.0495594713656388,88.4,5.84801762114537,1.19133935133261,0.55,2.42934102687665,"Balanced Defender"
"Diego Llorente","Roma","Serie A",30,3.00230231805102,0.539796166645019,0.190134699783946,1.28596948902626,1.22438316719201,3.56920766231937,0.142288194971672,88.9,6.07956031853764,1.35070725216727,0.55,2.5630509964282,"Balanced Defender"
"Duje Ćaleta-Car","Lyon","Ligue 1",27,2.6841388039958,0.226531496601742,0.214871367969712,1.15523650960179,0.889377024129909,3.78838719609542,0.0284090909090909,89.15,5.83300072982712,1.13127537360778,0.75,2.44156036839125,"Possession Defender"
"Dylan Batubinsika","Saint-Étienne","Ligue 1",28,2.27678571428571,0.491071428571429,0.178571428571429,1.16071428571429,1.74107142857143,3.39285714285714,0.0446428571428571,91.4,6.29464285714286,1.06243507792488,0.55,2.51476688831281,"Possession Defender"
"Emmanuel Agbadou","Wolves","Premier League",27,1.97872340425532,0.382978723404255,0.25531914893617,1.91489361702128,0.765957446808511,5.29787234042553,0.127659574468085,85.4,7.97872340425532,0.93645542161601,0.75,3.003599189923,"Defensive Stopper"
"Emmanuel Biumla","Angers","Ligue 1",19,1.07784431137725,0.202095808383234,0.0673652694610778,1.27994011976048,0.538922155688623,2.49251497005988,0,88.2,4.31137724550898,0.487545559404204,1,1.77663139741438,"Balanced Defender"
"Eray Cömert","Nantes","Ligue 1",25,2.57142857142857,0.315789473684211,0.180451127819549,1.89473684210526,1.62406015037594,4.46616541353383,0.135338345864662,88.4,7.98496240601504,1.11091288907879,0.75,3.07825387743603,"Defensive Stopper"
"Etienne Youte Kinkoue","Le Havre","Ligue 1",22,1.94068445877525,0.510965730426904,0.127741432606726,0.716293369930182,1.58259273570325,3.02275422373821,0.0387931034482759,87.85,5.32164032937164,0.930782633197306,0.95,2.24665515209041,"Balanced Defender"
"Fali Candé","Metz","Ligue 1",25,1.84964845862628,0.194699837750135,0.292049756625203,1.94699837750135,0.973499188750676,4.52677122769064,0.38939967550027,78.6,7.44726879394267,0.833721363620696,0.75,2.79626918363108,"Balanced Defender"
"Federico Baschirotto","Lecce","Serie A",27,2.24568593615186,0.553566292781133,0.0799539833189531,0.773727351164797,0.616839229220592,3.31384814495255,0.106773080241588,85,4.70441472533794,1.04475906587711,0.75,2.06422804395222,"Balanced Defender"
"Federico Fazio","Salernitana","Serie A",36,1.79335793357934,0.132841328413284,0.199261992619926,1.19557195571956,1.12915129151292,3.58671586715867,0,75,5.91143911439114,0.765168205714912,0.3,2.21449901660331,"Balanced Defender"
"Florent Ogier","Clermont Foot","Ligue 1",34,1.62248144220573,0.381760339342524,0.095440084835631,1.81336161187699,0.858960763520679,3.53128313891835,0,83,6.20360551431601,0.75916642906572,0.3,2.30774822592109,"Balanced Defender"
"Florian Lejeune","Rayo Vallecano","La Liga",33,3.47726801223076,0.487096008732381,0.311204973660481,1.15005864526058,0.865978291083886,4.45122409269341,0.202950568486139,82.2,6.46726102903788,1.54214157355186,0.3,2.69923493813211,"Ball Progressor"
"Gabriel Osho","Luton Town","Premier League",24,1.80390032502709,0.487540628385699,0.0975081256771398,1.99891657638137,1.51137594799567,5.0216684723727,0.14626218851571,82.2,8.53196099674973,0.86354684478191,0.9,3.16720703693768,"Defensive Stopper"
"Gabriel Paulista","Valencia","La Liga",32,2.1244635193133,0.128755364806867,0.128755364806867,0.643776824034335,1.5450643776824,4.50643776824034,0,85.7,6.69527896995708,0.866134930290372,0.3,2.50073766310327,"Balanced Defender"
"Gautier Lloris","Le Havre","Ligue 1",29,3.3103292488046,0.42192708398357,0.129882239478645,1.91542653466335,1.07110419605738,4.00693204659234,0.0973677886115931,86.3,6.99346277731308,1.40650289852929,0.55,2.85693999260564,"Balanced Defender"
"Germán Pezzella","Betis","La Liga",32,2.08167690639682,0.162631008312252,0.130104806649801,1.10589085652331,1.00831225153596,4.81387784604265,0.0650524033249006,86,6.92808095410192,0.862481395395084,0.3,2.56941684438861,"Balanced Defender"
