"Player","Squad","League","Pos","Age","Min","PrgP","PrgC","KP","Cmp.","Tkl","Int","Recov","Crs","PrgP_90","PrgC_90","KP_90","Tkl_90","Int_90","Recov_90","Defensive_Intensity","Ball_Progression","Creative_Involvement","Passing_Security","Modern_CB_Score","Cluster","Cluster_Label"
"Niklas Süle","Dortmund","Bundesliga","DF",28,1053,47,15,3,92.8,14,4,53,1,4.01709401709402,1.28205128205128,0.256410256410256,1.1965811965812,0.341880341880342,4.52991452991453,1.77350427350427,3.1965811965812,0.256410256410256,92.8,11.2178205128205,"1","Progressive distributors"
"Jonathan Tah","Leverkusen","Bundesliga","DF",28,2970,169,15,4,92.9,19,36,165,6,5.12121212121212,0.454545454545455,0.121212121212121,0.575757575757576,1.09090909090909,5,1.83636363636364,3.72121212121212,0.121212121212121,92.9,11.4393939393939,"1","Progressive distributors"
"Marvin Friedrich","Gladbach","Bundesliga","DF",28,989,36,11,3,88.4,15,5,42,0,3.27603640040445,1.0010111223458,0.273003033367037,1.36501516683519,0.455005055611729,3.82204246713852,1.70626895854398,2.59352881698686,0.273003033367037,88.4,10.5155561172902,"2","Balanced centre-backs"
"Thilo Kehrer","Monaco","Ligue 1","DF",27,2383,139,16,5,89.9,37,36,132,2,5.24968527066723,0.604280318925724,0.188837599664289,1.39739823751574,1.35963071758288,4.98531263113722,2.28304657994125,3.85606378514477,0.188837599664289,89.9,11.359817456987,"1","Progressive distributors"
"Miloš Veljković","Werder Bremen","Bundesliga","DF",28,1029,64,9,3,86.7,10,2,32,9,5.59766763848396,0.787172011661808,0.262390670553936,0.87463556851312,0.174927113702624,2.79883381924198,1.14577259475219,4.15451895043732,0.262390670553936,86.7,10.7721865889213,"1","Progressive distributors"
"Nico Elvedi","Gladbach","Bundesliga","DF",27,2135,55,20,5,92,38,30,89,1,2.31850117096019,0.843091334894614,0.210772833723653,1.60187353629977,1.26463700234192,3.75175644028103,2.03817330210773,1.87587822014052,0.210772833723653,92,10.6953278688525,"2","Balanced centre-backs"
"Dayot Upamecano","Bayern Munich","Bundesliga","DF",25,1759,137,17,7,93.9,36,34,115,6,7.00966458214895,0.869812393405344,0.358158044343377,1.84195565662308,1.73962478681069,5.88402501421262,2.82177373507675,5.16770892552587,0.358158044343377,93.9,12.4984280841387,"1","Progressive distributors"
"Kevin Danso","Lens","Ligue 1","DF",25,1080,52,9,6,85.6,19,20,59,0,4.33333333333333,0.75,0.5,1.58333333333333,1.66666666666667,4.91666666666667,2.44166666666667,3.25833333333333,0.5,85.6,10.7929166666667,"1","Progressive distributors"
"Lukas Klostermann","RB Leipzig","Bundesliga","DF",28,1838,83,16,2,88.4,27,24,74,11,4.06420021762786,0.783460282916213,0.0979325353645267,1.32208922742111,1.17519042437432,3.62350380848749,1.85337323177367,3.07997823721436,0.0979325353645267,88.4,10.7353618063112,"2","Balanced centre-backs"
"Marco Friedl","Werder Bremen","Bundesliga","DF",26,2161,69,4,3,90.2,62,34,141,2,2.87366959740861,0.16658954187876,0.12494215640907,2.58213789912078,1.41601110596946,5.87228135122628,3.05483572420176,2.06154558074965,0.12494215640907,90.2,10.9325520592318,"2","Balanced centre-backs"
"Benjamin Pavard","Inter","Serie A","DF",28,1584,92,13,8,91.3,29,16,46,11,5.22727272727273,0.738636363636364,0.454545454545455,1.64772727272727,0.909090909090909,2.61363636363636,1.66761363636364,3.88068181818182,0.454545454545455,91.3,11.3341193181818,"1","Progressive distributors"
"Ibrahima Konaté","Liverpool","Premier League","DF",25,2560,115,25,10,90.2,40,17,98,0,4.04296875,0.87890625,0.3515625,1.40625,0.59765625,3.4453125,1.6734375,3.09375,0.3515625,90.2,10.8959375,"1","Progressive distributors"
"Philipp Lienhart","Freiburg","Bundesliga","DF",28,2770,138,44,6,86.2,22,36,113,9,4.48375451263538,1.42960288808664,0.194945848375451,0.714801444043321,1.16967509025271,3.67148014440433,1.59043321299639,3.56750902527076,0.194945848375451,86.2,10.6328971119134,"2","Balanced centre-backs"
"Robin Koch","Eint Frankfurt","Bundesliga","DF",28,2586,93,9,7,90.7,24,25,112,1,3.23665893271462,0.31322505800464,0.243619489559165,0.835266821345708,0.870069605568445,3.89791183294664,1.61136890951276,2.35962877030162,0.243619489559165,90.7,10.614373549884,"2","Balanced centre-backs"
"Yann Aurel Bisseck","Inter","Serie A","DF",23,1643,93,32,7,91.8,17,17,66,8,5.09433962264151,1.75289105295192,0.383444917833232,0.931223371880706,0.931223371880706,3.61533779671333,1.60225197808886,4.09190505173463,0.383444917833232,91.8,11.4350669506999,"1","Progressive distributors"
