"Age","fitted","lower","upper","outcome"
16,4.08217293661838,3.53678966598008,4.62755620725667,"Progression"
16.5,4.09326954100364,3.5871907061417,4.59934837586559,"Progression"
17,4.10439109203675,3.63634447691677,4.57243770715673,"Progression"
17.5,4.11556198477642,3.68392955735063,4.5471944122022,"Progression"
18,4.12680440792489,3.72963682091848,4.5239719949313,"Progression"
18.5,4.13813599349053,3.77323262415753,4.50303936282353,"Progression"
19,4.1495583530627,3.81455880082333,4.48455790530206,"Progression"
19.5,4.16106311181064,3.85354615867353,4.46858006494776,"Progression"
20,4.17261796964233,3.89016428038703,4.45507165889764,"Progression"
20.5,4.18417827966133,3.92440362322817,4.44395293609449,"Progression"
21,4.19567393301501,3.95620435905258,4.43514350697744,"Progression"
21.5,4.20702320432062,3.98545962279216,4.42858678584908,"Progression"
22,4.21812336403124,4.01198952593037,4.42425720213211,"Progression"
22.5,4.22886346666773,4.03560394154499,4.42212299179047,"Progression"
23,4.2391207071863,4.0561426160303,4.42209879834231,"Progression"
23.5,4.2487692945001,4.07355585010751,4.42398273889269,"Progression"
24,4.2576833529146,4.08792445639671,4.42744224943249,"Progression"
24.5,4.26573996352086,4.09945744559782,4.4320224814439,"Progression"
25,4.2728281191599,4.10841651898522,4.43723971933459,"Progression"
25.5,4.27884525474857,4.11505348065664,4.4426370288405,"Progression"
26,4.28371066175698,4.11952951280442,4.44789181070955,"Progression"
26.5,4.28735611097752,4.12190874069993,4.45280348125511,"Progression"
27,4.28974143393821,4.12215589359863,4.45732697427779,"Progression"
27.5,4.29084090564663,4.12019370405995,4.4614881072333,"Progression"
28,4.29065851429281,4.11594242475898,4.46537460382664,"Progression"
28.5,4.28921241530402,4.10936508521164,4.4690597453964,"Progression"
29,4.28654771987397,4.10047126778644,4.47262417196151,"Progression"
29.5,4.28272146233343,4.08930705924677,4.47613586542009,"Progression"
30,4.27781141379491,4.07591030030641,4.47971252728341,"Progression"
30.5,4.27190365450295,4.06029092849358,4.48351638051231,"Progression"
31,4.26509676444846,4.04239589095019,4.48779763794673,"Progression"
31.5,4.25749339969369,4.02213740698483,4.49284939240256,"Progression"
32,4.24920002083987,3.99940189940264,4.49899814227711,"Progression"
32.5,4.24032303660037,3.97411170554594,4.50653436765479,"Progression"
33,4.23096484359817,3.94624184901131,4.51568783818502,"Progression"
33.5,4.22122432273472,3.91585330493382,4.52659534053561,"Progression"
34,4.2111903041157,3.88306852217799,4.5393120860534,"Progression"
34.5,4.2009456307825,3.8480593343841,4.5538319271809,"Progression"
35,4.19055924831513,3.81099078300234,4.57012771362793,"Progression"
35.5,4.18009274872323,3.7720083387669,4.58817715867956,"Progression"
36,4.16959220719628,3.73119373250283,4.60799068188973,"Progression"
36.5,4.15909605727373,3.68858961620822,4.62960249833923,"Progression"
37,4.14862768271488,3.64419001221172,4.65306535321805,"Progression"
37.5,4.13820355569769,3.59799492945882,4.67841218193657,"Progression"
38,4.12782755185466,3.55002012609538,4.70563497761394,"Progression"
38.5,4.11749838174752,3.50034332113381,4.73465344236124,"Progression"
39,4.10720669220037,3.44909826357099,4.76531512082976,"Progression"
39.5,4.09694083300048,3.39648498404055,4.7973966819604,"Progression"
40,4.08668802952542,3.3427262233571,4.83064983569375,"Progression"
16,6.01363262708818,5.08240975204345,6.9448555021329,"Defensive"
16.5,6.13540369650539,5.32049987284996,6.95030752016081,"Defensive"
17,6.25588780043849,5.55242665851162,6.95934894236535,"Defensive"
17.5,6.37370476549718,5.77408516927725,6.97332436171711,"Defensive"
18,6.4871015866664,5.98068236227867,6.99352081105413,"Defensive"
18.5,6.59423703812468,6.16760951700007,7.0208645592493,"Defensive"
19,6.69328984244967,6.33118344213756,7.05539624276177,"Defensive"
19.5,6.78252007124738,6.46942459461014,7.09561554788463,"Defensive"
20,6.86049324383838,6.5827816068047,7.13820488087206,"Defensive"
20.5,6.92596978252143,6.67366738181442,7.17827218322845,"Defensive"
21,6.97818427379376,6.74529982916569,7.21106871842183,"Defensive"
21.5,7.01662191637557,6.80022747673109,7.23301635602005,"Defensive"
22,7.04129619368055,6.83972525505358,7.24286713230752,"Defensive"
22.5,7.05247357127976,6.86386933744285,7.24107780511666,"Defensive"
23,7.0509041586802,6.87229666015013,7.22951165721026,"Defensive"
23.5,7.03755087006362,6.86501496125906,7.21008677886818,"Defensive"
24,7.0137441943747,6.84326063762418,7.18422775112521,"Defensive"
