"Player","Squad","League","Season","defending_score","padj_tackles","padj_interceptions","padj_recoveries"
"Timo Hübers","Köln","Bundesliga","2023-2024",12.356537161647,2.44038105360886,2.17090110915615,7.74525499888198
"Riccardo Calafiori","Bologna","Serie A","2023-2024",12.1638093638044,2.02878347589608,1.99294159203512,8.14208429587316
"Giorgio Scalvini","Atalanta","Serie A","2023-2024",11.0160806204344,2.14881489243417,2.20765569365461,6.65961003434561
"Sead Kolašinac","Atalanta","Serie A","2024-2025",10.752161992193,2.17411980234662,1.39865037701312,7.17939181283323
"Wilfried Singo","Monaco","Ligue 1","2024-2025",10.5107161711471,1.87028820844276,1.94022783606893,6.70020012663546
"Alidu Seidu","Clermont Foot","Ligue 1","2023-2024",10.4499775324735,1.99382639522511,1.52240315121319,6.93374798603515
"Jhon Lucumí","Bologna","Serie A","2024-2025",9.9896719304459,2.05753849403477,1.12201391475566,6.81011952165546
"Isak Hien","Atalanta","Serie A","2024-2025",9.8582600288839,2.124508520016,1.41720830080067,6.31654320806723
"Tom Lockyer","Luton Town","Premier League","2023-2024",9.85199787194652,1.84507436907079,1.56614961569309,6.44077388718263
"Robin Knoche","Union Berlin","Bundesliga","2023-2024",9.68341052991843,1.70484261568793,0.839825715301995,7.13874219892851
"Unai Núñez","Celta Vigo","La Liga","2023-2024",9.44597600883622,1.6123917936292,1.53808057664823,6.29550363855879
"Mohammed Salisu","Monaco","Ligue 1","2024-2025",9.42161858496556,2.41191878412673,1.51336905992318,5.49633074091565
"Christian Mawissa","Monaco","Ligue 1","2024-2025",9.19903125415406,2.56151579225094,1.65996141851105,4.97755404339208
"Leonardo Balerdi","Marseille","Ligue 1","2023-2024",9.19795626847966,2.31336134410006,1.52083180157814,5.36376312280147
"Lucas Martínez Quarta","Fiorentina","Serie A","2023-2024",9.1839204245913,2.59589850373172,1.18196309773118,5.4060588231284
"Castello Lukeba","RB Leipzig","Bundesliga","2023-2024",9.08717118244169,1.1591787379286,0.79175211103657,7.13624033347651
"Paweł Dawidowicz","Hellas Verona","Serie A","2023-2024",9.0708032861236,2.12850055693044,1.09681583023186,5.8454868989613
"Facundo Medina","Lens","Ligue 1","2024-2025",9.06071169968781,1.69578777749108,1.23762822967156,6.12729569252517
"Thilo Kehrer","Monaco","Ligue 1","2024-2025",9.04066178495454,1.70625581085288,1.54350170793252,5.79090426616914
"Mohamed Simakan","RB Leipzig","Bundesliga","2023-2024",9.02437482014638,2.19292559547856,1.39277107514895,5.43867814951887
