"Player","Squad","League","Season","Age","cluster","role_profile","scouting_score","progression_index","padj_interceptions","padj_tackles"
"Sead Kolašinac","Atalanta","Serie A","2024-2025",31,"4","Elite Progressive Distributor",4.74733768987994,3.16047273055513,1.39865037701312,2.17411980234662
"Riccardo Calafiori","Bologna","Serie A","2023-2024",21,"3","High-Intensity Ball-Winner",4.64788681865141,1.77286002377527,1.99294159203512,2.02878347589608
"Timo Hübers","Köln","Bundesliga","2023-2024",27,"3","High-Intensity Ball-Winner",4.5641306980829,1.45667387397199,2.17090110915615,2.44038105360886
"Nico Schlotterbeck","Dortmund","Bundesliga","2024-2025",24,"4","Elite Progressive Distributor",4.43997379604955,3.617557985466,1.00605376803484,1.61240047688121
"Wilfried Singo","Monaco","Ligue 1","2024-2025",23,"3","High-Intensity Ball-Winner",4.3536771633929,2.28565578012189,1.94022783606893,1.87028820844276
"Giorgio Scalvini","Atalanta","Serie A","2023-2024",19,"3","High-Intensity Ball-Winner",4.33290151376255,1.86694331908057,2.20765569365461,2.14881489243417
"Lucas Martínez Quarta","Fiorentina","Serie A","2023-2024",27,"3","High-Intensity Ball-Winner",4.13242173960211,2.7638640305618,1.18196309773118,2.59589850373172
"Facundo Medina","Lens","Ligue 1","2024-2025",25,"4","Elite Progressive Distributor",4.11101417456911,2.78800166165692,1.23762822967156,1.69578777749108
"Mohammed Salisu","Monaco","Ligue 1","2024-2025",25,"3","High-Intensity Ball-Winner",4.00491123629633,2.25756415201666,1.51336905992318,2.41191878412673
"Alidu Seidu","Clermont Foot","Ligue 1","2023-2024",23,"3","High-Intensity Ball-Winner",3.9929463632273,1.43888275871315,1.52240315121319,1.99382639522511
"Jhon Lucumí","Bologna","Serie A","2024-2025",26,"3","High-Intensity Ball-Winner",3.98089800535339,1.75724106554906,1.12201391475566,2.05753849403477
"Daniel Vivian","Athletic Club","La Liga","2024-2025",25,"4","Elite Progressive Distributor",3.96545958573405,2.65795426838286,1.5640275608345,1.48312130948894
"Mohamed Simakan","RB Leipzig","Bundesliga","2023-2024",23,"3","High-Intensity Ball-Winner",3.84262514333371,2.12428174322449,1.39277107514895,2.19292559547856
"Leonardo Balerdi","Marseille","Ligue 1","2023-2024",24,"3","High-Intensity Ball-Winner",3.83410474507742,1.97154466133381,1.52083180157814,2.31336134410006
"Lutsharel Geertruida","RB Leipzig","Bundesliga","2024-2025",24,"3","High-Intensity Ball-Winner",3.83355108162627,2.30626710289254,1.16460423371702,2.15153394315676
"Thilo Kehrer","Monaco","Ligue 1","2024-2025",27,"3","High-Intensity Ball-Winner",3.81609473742945,2.05999050485772,1.54350170793252,1.70625581085288
"Dayot Upamecano","Bayern Munich","Bundesliga","2024-2025",25,"4","Elite Progressive Distributor",3.78917850624784,2.70178044863759,1.40398702400367,1.59317200958776
"Castello Lukeba","RB Leipzig","Bundesliga","2023-2024",20,"1","Standard Build-up Distributor",3.77060502565985,1.88213417731835,0.79175211103657,1.1591787379286
"Jarell Quansah","Liverpool","Premier League","2023-2024",20,"3","High-Intensity Ball-Winner",3.74897548838084,2.07385536879359,1.32474428270296,1.89107755954506
"Tom Lockyer","Luton Town","Premier League","2023-2024",28,"2","Limited / Reactive Defender",3.72309032230131,1.26547740179339,1.56614961569309,1.84507436907079
"Amari'I Bell","Luton Town","Premier League","2023-2024",29,"3","High-Intensity Ball-Winner",3.70834567181421,1.99218914173947,1.31206795682703,2.37083323954231
"Mika Mármol","Las Palmas","La Liga","2023-2024",22,"3","High-Intensity Ball-Winner",3.70179608900257,1.78931639350604,1.32669721498279,2.05018585745097
"Kim Min-Jae","Bayern Munich","Bundesliga","2024-2025",27,"4","Elite Progressive Distributor",3.70160623905608,2.68097571282126,1.25237118969964,1.30381002662194
"Robin Knoche","Union Berlin","Bundesliga","2023-2024",31,"2","Limited / Reactive Defender",3.66867895242267,1.28238948361786,0.839825715301995,1.70484261568793
"Unai Núñez","Celta Vigo","La Liga","2023-2024",26,"2","Limited / Reactive Defender",3.66303304119564,1.39885059636194,1.53808057664823,1.6123917936292
"Cristian Romero","Tottenham","Premier League","2024-2025",26,"3","High-Intensity Ball-Winner",3.65002844478936,1.88377349471966,1.27614733113828,1.99452407538391
"El Chadaille Bitshiabu","RB Leipzig","Bundesliga","2024-2025",19,"3","High-Intensity Ball-Winner",3.63732979918651,2.03534440084085,1.25217594758328,2.18735554944467
"Dean Huijsen","Bournemouth","Premier League","2024-2025",19,"3","High-Intensity Ball-Winner",3.63574204296352,2.2903909952378,1.95229708614626,1.60676408166694
"Danilo","Juventus","Serie A","2023-2024",32,"3","High-Intensity Ball-Winner",3.61572762867146,2.38996039734191,1.25461539883251,1.96141165381123
"Paweł Dawidowicz","Hellas Verona","Serie A","2023-2024",28,"3","High-Intensity Ball-Winner",3.59869410264953,1.51138279203113,1.09681583023186,2.12850055693044
"Iñigo Martínez","Barcelona","La Liga","2024-2025",33,"4","Elite Progressive Distributor",3.59694543135758,4.06789268505058,0.710699957209248,0.973689572093661
"Lisandro Martínez","Manchester Utd","Premier League","2024-2025",26,"3","High-Intensity Ball-Winner",3.59189023032735,2.49514059554955,1.50819376347398,1.93163729014873
"Isak Hien","Atalanta","Serie A","2024-2025",25,"2","Limited / Reactive Defender",3.58992806522637,0.881875141403012,1.41720830080067,2.124508520016
"Waldemar Anton","Stuttgart","Bundesliga","2023-2024",27,"4","Elite Progressive Distributor",3.57905060368882,2.30392391939378,1.12884811304537,1.19339084366555
"Youssouf Ndayishimiye","Nice","Ligue 1","2024-2025",25,"3","High-Intensity Ball-Winner",3.55717147443915,1.71862128349628,1.12273924410989,1.92584184536233
"Christian Mawissa","Monaco","Ligue 1","2024-2025",19,"3","High-Intensity Ball-Winner",3.55200191302853,1.26198134195579,1.65996141851105,2.56151579225094
"Mario Gila","Lazio","Serie A","2024-2025",23,"4","Elite Progressive Distributor",3.54797218580258,2.39233704497556,0.976715044745859,1.74955258161347
"Adam Webster","Brighton","Premier League","2023-2024",28,"4","Elite Progressive Distributor",3.54699007980552,2.53003609203899,1.24892744225308,1.33719920425538
"Odilon Kossounou","Atalanta","Serie A","2024-2025",23,"3","High-Intensity Ball-Winner",3.53802888075914,1.65436763173091,1.29198915926667,1.6623493230452
"Willi Orban","RB Leipzig","Bundesliga","2024-2025",31,"3","High-Intensity Ball-Winner",3.51787834570668,1.77262595452032,1.08658172590789,1.79368956494446
"Arthur Theate","Rennes","Ligue 1","2023-2024",23,"4","Elite Progressive Distributor",3.5169104143782,2.49287863000535,1.17351931141403,1.25470481510858
"Bernardo","Bochum","Bundesliga","2024-2025",29,"3","High-Intensity Ball-Winner",3.51531019630248,2.0157974098366,1.37038760914887,2.2602892916676
"César Azpilicueta","Atlético Madrid","La Liga","2023-2024",33,"4","Elite Progressive Distributor",3.51132185635473,2.54318888671696,1.12952451568658,1.6686496508657
"Dante","Nice","Ligue 1","2024-2025",40,"3","High-Intensity Ball-Winner",3.51066017324812,1.84630283242517,1.55697529240146,1.62600144643664
"Kevin Danso","Lens","Ligue 1","2024-2025",25,"3","High-Intensity Ball-Winner",3.51043684736726,1.81406021168016,1.54785490454401,1.6978874162696
"Illia Zabarnyi","Bournemouth","Premier League","2024-2025",21,"3","High-Intensity Ball-Winner",3.4880945814398,1.76193878243744,1.36185521336383,1.75285394124007
"Danilo Pereira","Paris S-G","Ligue 1","2023-2024",31,"4","Elite Progressive Distributor",3.47320692782085,2.67559943373085,0.985170771422486,1.06790446251283
"Joseph Okumu","Reims","Ligue 1","2024-2025",27,"4","Elite Progressive Distributor",3.46878956840682,2.43498072105718,1.21807585242,1.5213520739788
"Michael Svoboda","Venezia","Serie A","2024-2025",25,"3","High-Intensity Ball-Winner",3.45029004719693,1.42501455198406,1.52093045222657,1.88993814044111
"Diogo Leite","Union Berlin","Bundesliga","2024-2025",25,"3","High-Intensity Ball-Winner",3.44862781550749,1.76794558139533,1.93192927625077,2.24972322656656
"Jan Paul Van Hecke","Brighton","Premier League","2024-2025",24,"4","Elite Progressive Distributor",3.4467725301133,3.00707412920163,0.860244952848954,1.46873114619692
"Marco Friedl","Werder Bremen","Bundesliga","2024-2025",26,"2","Limited / Reactive Defender",3.4361154404392,1.15105344871024,1.29947622328692,2.2261917727925
"Marquinhos","Paris S-G","Ligue 1","2023-2024",29,"4","Elite Progressive Distributor",3.4342905553741,2.65472223516634,0.964175409010113,1.16585302793876
"Patrick Mainka","Heidenheim","Bundesliga","2024-2025",29,"3","High-Intensity Ball-Winner",3.42993444831501,1.33785783670949,2.00529502711706,1.8556217734986
"Abdukodir Khusanov","Lens","Ligue 1","2024-2025",20,"3","High-Intensity Ball-Winner",3.41516027687158,1.52067330801913,1.94640202539856,1.58095159018324
"Warmed Omari","Rennes","Ligue 1","2023-2024",23,"3","High-Intensity Ball-Winner",3.41227710792406,2.19514502781533,1.321305230105,1.41040515263321
"Oumar Solet","Udinese","Serie A","2024-2025",24,"3","High-Intensity Ball-Winner",3.40751094122464,1.7344374056497,1.07054476356227,1.83005741771285
"Kevin Akpoguma","Hoffenheim","Bundesliga","2023-2024",28,"3","High-Intensity Ball-Winner",3.40319535280126,1.8774725945171,1.25835850423005,2.17319264650558
"Dan-Axel Zagadou","Stuttgart","Bundesliga","2023-2024",24,"1","Standard Build-up Distributor",3.39234057257934,1.71038398111705,1.10411530686383,1.27934537357022
"Sam Beukema","Bologna","Serie A","2024-2025",25,"3","High-Intensity Ball-Winner",3.37508949711321,1.93042503544671,1.11668308312131,1.87490827199419
"Marc Guéhi","Crystal Palace","Premier League","2024-2025",24,"3","High-Intensity Ball-Winner",3.37216061345901,1.7055018640561,1.03671658540425,2.01522604204903
"Kevin Vogt","Union Berlin","Bundesliga","2024-2025",32,"1","Standard Build-up Distributor",3.36654075481431,1.86085000447389,0.870089579960808,1.16351852128764
"Woyo Coulibaly","Parma","Serie A","2024-2025",25,"4","Elite Progressive Distributor",3.36616037327176,2.15849057536322,0.940681086183396,1.37550518006704
"Nehuén Pérez","Udinese","Serie A","2023-2024",23,"3","High-Intensity Ball-Winner",3.36121790482013,1.48765518951121,1.32812896002373,2.06327111169184
"Reinildo Mandava","Atlético Madrid","La Liga","2024-2025",30,"3","High-Intensity Ball-Winner",3.35520387658312,1.61323891467029,1.42139881627728,1.73684030785443
"Berat Djimsiti","Atalanta","Serie A","2024-2025",31,"3","High-Intensity Ball-Winner",3.34424474330672,1.74914356960392,1.56771821343021,2.090366235711
"Yeray Álvarez","Athletic Club","La Liga","2024-2025",29,"3","High-Intensity Ball-Winner",3.3339682178838,2.17112220712112,1.58688925974226,1.41026990852872
"Lucas Beraldo","Paris S-G","Ligue 1","2024-2025",20,"1","Standard Build-up Distributor",3.29363346007699,2.21289363595667,0.922692930803359,1.52437824371612
"Lilian Brassier","Rennes","Ligue 1","2024-2025",24,"4","Elite Progressive Distributor",3.281769603802,2.37518706794802,1.3785364481311,1.25133535539585
"Mathias Jørgensen","Brentford","Premier League","2023-2024",33,"1","Standard Build-up Distributor",3.27511119757927,1.67541911035777,1.09521133134799,1.51789433525631
"Teden Mengi","Luton Town","Premier League","2023-2024",21,"2","Limited / Reactive Defender",3.26986051269548,0.98632968703964,1.92344423893384,1.95587167788312
"Micky Van De Ven","Tottenham","Premier League","2024-2025",23,"1","Standard Build-up Distributor",3.25660931441724,1.82079363523388,1.01578678757016,1.20120444789322
"Willy Boly","Nott'ham Forest","Premier League","2023-2024",32,"2","Limited / Reactive Defender",3.25394663890054,0.981435905252747,1.38866996962461,2.35800740870322
"Gerzino Nyamsi","Strasbourg","Ligue 1","2023-2024",26,"2","Limited / Reactive Defender",3.24946117262336,0.986812744539498,1.02280293271926,1.59932050946653
