"Player","Squad","League","Season","Age","scouting_score"
"Riccardo Calafiori","Bologna","Serie A","2023-2024",21,4.64788681865141
"Nico Schlotterbeck","Dortmund","Bundesliga","2024-2025",24,4.43997379604955
"Wilfried Singo","Monaco","Ligue 1","2024-2025",23,4.3536771633929
"Giorgio Scalvini","Atalanta","Serie A","2023-2024",19,4.33290151376255
"Alidu Seidu","Clermont Foot","Ligue 1","2023-2024",23,3.9929463632273
"Mohamed Simakan","RB Leipzig","Bundesliga","2023-2024",23,3.84262514333371
"Leonardo Balerdi","Marseille","Ligue 1","2023-2024",24,3.83410474507742
"Lutsharel Geertruida","RB Leipzig","Bundesliga","2024-2025",24,3.83355108162627
"Castello Lukeba","RB Leipzig","Bundesliga","2023-2024",20,3.77060502565985
"Jarell Quansah","Liverpool","Premier League","2023-2024",20,3.74897548838084
"Mika Mármol","Las Palmas","La Liga","2023-2024",22,3.70179608900257
"El Chadaille Bitshiabu","RB Leipzig","Bundesliga","2024-2025",19,3.63732979918651
"Dean Huijsen","Bournemouth","Premier League","2024-2025",19,3.63574204296352
"Christian Mawissa","Monaco","Ligue 1","2024-2025",19,3.55200191302853
"Mario Gila","Lazio","Serie A","2024-2025",23,3.54797218580258
"Odilon Kossounou","Atalanta","Serie A","2024-2025",23,3.53802888075914
"Arthur Theate","Rennes","Ligue 1","2023-2024",23,3.5169104143782
"Illia Zabarnyi","Bournemouth","Premier League","2024-2025",21,3.4880945814398
"Jan Paul Van Hecke","Brighton","Premier League","2024-2025",24,3.4467725301133
"Abdukodir Khusanov","Lens","Ligue 1","2024-2025",20,3.41516027687158
"Warmed Omari","Rennes","Ligue 1","2023-2024",23,3.41227710792406
"Oumar Solet","Udinese","Serie A","2024-2025",24,3.40751094122464
"Dan-Axel Zagadou","Stuttgart","Bundesliga","2023-2024",24,3.39234057257934
"Marc Guéhi","Crystal Palace","Premier League","2024-2025",24,3.37216061345901
"Nehuén Pérez","Udinese","Serie A","2023-2024",23,3.36121790482013
"Lucas Beraldo","Paris S-G","Ligue 1","2024-2025",20,3.29363346007699
"Lilian Brassier","Rennes","Ligue 1","2024-2025",24,3.281769603802
"Teden Mengi","Luton Town","Premier League","2023-2024",21,3.26986051269548
"Micky Van De Ven","Tottenham","Premier League","2024-2025",23,3.25660931441724
"Alexsandro Ribeiro","Lille","Ligue 1","2024-2025",24,3.22448870400915
"Eric García","Girona","La Liga","2023-2024",22,3.2091758100663
"Maxime Estève","Burnley","Premier League","2023-2024",21,3.2005150499585
"Koni De Winter","Genoa","Serie A","2024-2025",22,3.18714758594508
