"PlayerID","Player","Squad","League","Nation","Pos","Age","Born","Season","MP","Min","Mn.MP","Min.","Starts","Mn.Start","Subs","Mn.Sub","unSub","X90s","Sh","Sh.90","SoT","SoT.","SoT.90","G.Sh","G.SoT","Gls","Ast","G.A","PK","PKatt","PKcon","OG","xG","npxG","npxG.Sh","G.xG","np.G.xG","Pass","Cmp","Cmp.","PassLive","PassDead","KP","Crs","CrsPA","A.xAG","xAG","xA","PPA","Live","Dead","FK","TB","Sw","TI","CK","In","Out","Str","Compl","PPM","Mis","Tkl","TklW","Tkl.","Tkld","Tkld.","Tkl.Int","Int","Blocks","Clr","Fls","Recov","Def","Def.3rd","Mid.3rd","Att.3rd","Att","Att.Pen","Off","Dis","Won","Won.","Lost","X...","X...90","On.Off","onG","onGA","onxG","onxGA","xG...","xG...90","SCA","SCA90","PrgC","PrgDist","PrgP","PrgR","Rec","Carries","CPA","Touches","Dist","TotDist","Ballon.d.or","European.Golden.Shoe","League.Won","UCL_Won","The.Best.FIFA.Mens.Player","UEFA.Best.Player","UCL_MP","UCL_Gls","UCL_xG","UCL_Ast","UCL_xA","UCL_KP","UCL_GCA","UCL_SCA","crosses_per90","prg_received_per90","touches_att_3rd_per90","progressive_passes_per90_raw","progressive_carries_per90_raw","key_passes_per90_raw","tackles_per90_raw","interceptions_per90_raw","recoveries_per90_raw","pass_completion","progressive_passes_per90","progressive_carries_per90","key_passes_per90","tackles_per90","interceptions_per90","recoveries_per90","estimated_possession_proxy","padj_multiplier","padj_tackles","padj_interceptions","padj_recoveries","progression_index","defending_score","age_score","scouting_score"
15391,"Abakar Sylla","Strasbourg","Ligue 1","CIV","DF",21,2002,"2024-2025",21,950,45,31,10,78,11,15,9,10.6,10,0.47,1,20,0.09,0.2,1,1,0,1,0,0,0,1,0.4,0.4,0.08,0.6,0.6,8,583,88.6,3,0,1,1,0,0,0.1,0.1,1,589,69,25,0,1,12,0,0,0,0,7,1.71,5,27,15,88.2,3,50,38,11,18,63,17,39,0,14,11,2,17,9,0,4,20,57.1,2,0,0,0,15,21,15.6,20.3,0,0,4,0.38,0,3603,21,3,497,425,0,791,9,9980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0947368421052632,0.284210526315789,0.189473684210526,1.98947368421053,0,0.0947368421052632,2.55789473684211,1.04210526315789,3.69473684210526,88.6,2.21373096084041,0.162616276862281,0.198634958516093,2.04286430436352,1.07148113998254,3.79179096862613,51.5041923711654,1.07506813127507,2.19621831014064,1.15191522685751,4.07643363082658,0.889475593171914,7.42456716782473,1,2.87176038761619
10223,"Abdel Abqar","Alavés","La Liga","MAR","DF",25,1999,"2024-2025",29,2463,85,72,29,85,0,0,0,27.4,18,0.44,1,8.3,0.04,0,0,0,1,1,0,0,2,0,0.9,0.9,0.08,0,0,10,719,76.6,20,0,8,5,2,0.7,0.3,0.4,10,888,48,40,1,17,7,0,0,0,0,24,1.03,18,36,23,58.8,1,25,75,39,28,146,47,87,2,24,11,1,34,25,2,3,40,53.3,14,0,0,0,30,41,32,33.4,0,0,25,0.91,16,5771,79,4,650,632,0,1251,8,16039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182704019488429,0.146163215590743,0.0365408038976857,2.88672350791717,0.584652862362972,0.292326431181486,1.31546894031669,1.42509135200974,3.17904993909866,76.6,2.91796271086968,0.589897034076578,0.273766770028293,1.36249134147148,1.33684031723634,3.3043040185169,48.2510395902554,0.912774209326954,1.24364695692646,1.2202333635618,3.01608348787764,1.3078004217722,5.47996380836589,0.95,2.43370931121865
13468,"Abdoulaye Bamba","Angers","Ligue 1","CIV","DF",34,1990,"2024-2025",19,1510,79,49.3,16,88,3,33,12,16.8,8,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.09,0,0,6,518,88.5,8,0,6,5,3,0,0.3,0.3,4,551,34,13,1,1,20,0,0,0,0,14,0.79,3,22,12,73.7,0,0,41,19,14,79,10,47,2,17,4,1,19,3,0,4,11,39.3,5,0,0,0,11,29,16.9,25.6,0,0,10,0.6,1,3330,16,3,468,408,0,743,7.2,10459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298013245033113,0.178807947019868,0.0596026490066225,0.95364238410596,0.0596026490066225,0.357615894039735,1.3112582781457,1.13245033112583,2.80132450331126,88.5,1.22170043236133,0.162037826737657,0.297337827278914,1.37851823269078,1.12076469284243,3.07346120792925,48.8545637881517,0.942790725690281,1.29965420497582,1.05664655809296,2.89763072260454,0.572559724445692,5.25393148567333,0.5,1.99370333548027
14782,"Abdoulaye Niakhate Ndiaye","Brest","Ligue 1","SEN","DF",22,2002,"2024-2025",22,1707,78,55.8,19,86,3,26,6,19,17,0.58,2,18.2,0.11,0.09,0.5,1,0,1,0,0,2,0,1,1,0.09,0,0,12,804,86.4,6,1,1,2,0,0,0,0.2,2,888,41,36,0,8,1,0,0,0,0,17,1.86,15,49,33,67.6,6,75,60,11,29,144,20,72,0,36,12,1,37,21,0,5,46,56.8,12,3,0.16,0.82,32,29,22.8,33.6,0,0,11,0.58,5,5904,39,4,740,598,0,1203,9.1,15938,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.105448154657293,0.210896309314587,0.0527240773286467,2.05623901581722,0.263620386643234,0.0527240773286467,2.58347978910369,0.579964850615114,3.79613356766257,86.4,2.18436959127537,0.322992750987244,0.157202091982486,2.20984887833773,0.763225270525339,3.83810802914434,50.9690869878557,1.04841646421041,2.31684194746619,0.800177939520209,4.0239356491731,0.923073049873301,7.14095553615949,1,2.79791588079717
15394,"Abdukodir Khusanov","Lens","Ligue 1","UZB","DF",20,2004,"2024-2025",13,975,75,31.9,11,87,2,9,0,10.8,11,0.55,4,66.7,0.37,0,0,0,0,0,0,0,1,0,0.2,0.2,0.04,0,0,6,483,88.1,9,0,2,5,1,0,0.3,0.2,4,521,26,13,0,3,8,0,0,0,0,10,1.62,5,15,11,63.6,0,0,41,26,17,57,13,50,0,9,5,1,11,4,0,1,27,69.2,4,3,0.28,0.28,12,9,14.3,13.1,1.3,0.12,11,1.02,2,3769,43,6,392,339,0,683,24.6,8942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461538461538462,0.553846153846154,0.0923076923076923,3.96923076923077,0.184615384615385,0.184615384615385,1.38461538461538,2.4,4.61538461538461,88.1,3.86118191029713,0.297295248477099,0.227985775004826,1.43618272574974,1.76816860402267,4.42279357014949,52.022893033034,1.10080114586946,1.58095159018324,1.94640202539856,4.86861622996464,1.52067330801913,8.39596984554644,1,3.41516027687158
10632,"Abdul Mumin","Rayo Vallecano","La Liga","GHA","DF",26,1998,"2024-2025",24,2017,84,59,24,84,0,0,0,22.4,29,0.45,3,30,0.13,0.2,0.67,2,1,3,0,0,0,0,0.6,0.6,0.06,1.4,1.4,11,900,82.9,10,0,1,6,0,0.8,0.2,0.1,1,1017,65,25,0,8,1,0,0,0,0,21,1.46,16,37,25,63,4,40,60,23,40,125,22,93,0,30,7,0,27,13,0,5,31,55.4,10,3,0.13,0.58,24,21,26.6,25.1,1.5,0.06,11,0.49,12,7016,40,6,819,725,2,1351,12.9,17231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267724343083788,0.267724343083788,0,1.78482895389192,0.535448686167576,0.044620723847298,1.65096678235002,1.02627664848785,4.14972731779871,82.9,1.91872045613243,0.54863106935303,0.144830774179515,1.60254131358994,1.04997005744267,4.12265538700189,52.1328882063534,1.10624195105619,1.77279842939389,1.16152092489596,4.56065433884929,0.905800220645698,7.49497369313913,0.95,2.88371219620002
18876,"Adam Masina","Torino","Serie A","MAR","DF",30,1994,"2024-2025",28,1919,69,56.1,20,87,8,22,9,21.3,15,0.38,2,25,0.09,0.13,0.5,1,2,3,0,0,0,0,0.7,0.7,0.09,0.3,0.3,13,1066,84.1,17,0,4,14,2,1.7,0.3,0.7,6,1198,66,27,1,8,25,0,0,0,0,15,1.11,12,33,15,57.5,6,50,60,27,28,95,23,88,1,22,10,1,40,12,2,8,66,74.2,17,0,0,0,20,28,21,30.2,0,0,21,0.98,15,7055,73,10,971,853,1,1502,14.6,19972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656591974986972,0.468994267847837,0.0468994267847837,3.42365815528921,0.703491401771756,0.187597707139135,1.54768108389786,1.26628452318916,4.12714955706097,84.1,3.41381549660941,0.692506177826646,0.218817051019224,1.53027454530091,1.21277326415487,4.10319472103468,43.6880747850314,0.69448037274612,1.06274563662447,0.842247228546802,2.84958819931408,1.50042688101773,4.75458106448535,0.85,2.2806450717527
18967,"Adam Webster","Brighton","Premier League","ENG","DF",28,1995,"2023-2024",15,1144,76,33.5,13,85,2,18,12,12.7,12,0.63,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0.4,0.05,0,0,4,997,91,13,0,5,1,0,0,0.1,0.3,4,1063,31,23,1,4,7,0,0,0,0,11,1.13,5,14,12,33.3,2,100,30,16,16,43,9,63,0,8,5,1,18,14,0,2,33,71.7,12,0,0,0,16,22,21.9,17.5,4.5,0.35,14,1.1,16,5838,80,2,903,814,0,1201,9.9,16938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786713286713287,0.157342657342657,0.0786713286713287,6.29370629370629,1.25874125874126,0.393356643356643,1.1013986013986,1.25874125874126,4.95629370629371,91,5.86337546605988,1.11728852625626,0.30347763108045,1.27255443535042,1.18855003129846,4.68893145053981,51.0168596319698,1.05079921699944,1.33719920425538,1.24892744225308,4.92712549679128,2.53003609203899,7.51325214329974,0.95,3.54699007980552
10225,"Aitor Paredes","Athletic Club","La Liga","ESP","DF",24,2000,"2024-2025",23,1812,79,53,21,85,2,15,11,20.1,15,0.3,3,50,0.15,0.5,1,3,0,3,0,0,1,0,2.3,2.3,0.38,0.7,0.7,11,789,83.3,8,0,2,1,0,0,0.1,0.2,2,909,36,29,0,6,0,0,0,0,0,16,1.57,7,15,13,53.3,1,100,37,22,26,114,23,62,0,10,5,0,15,11,0,1,30,50.8,7,12,0.6,0,32,20,27.2,22.4,4.8,0.24,8,0.4,4,6216,46,2,708,596,0,1154,4.7,16864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496688741721854,0.0993377483443709,0,2.28476821192053,0.198675496688742,0.0993377483443709,0.745033112582781,1.09271523178808,3.0794701986755,83.3,2.38416438302395,0.265178746038001,0.176883547393327,0.991189882936375,1.09574143668471,3.26046044160282,51.0540212295602,1.05265232494591,1.04337833473584,1.15343477086573,3.43213126424738,0.978439325482364,5.62894436984895,1,2.36335904114763
24357,"Alberto Dossena","Como","Serie A","ITA","DF",25,1998,"2024-2025",23,1825,79,53.4,20,87,3,29,3,20.3,11,0.59,3,25,0.15,0,0,0,2,2,0,0,2,0,0.8,0.8,0.07,0,0,11,894,87.6,9,0,5,1,0,1.3,0.7,0.4,1,952,65,43,0,3,4,0,0,0,0,14,0.91,8,33,20,57.1,2,33.3,55,22,22,89,22,68,0,23,8,2,28,20,0,3,59,71.1,12,0,0,0,25,34,22.7,22.9,0,0,11,0.54,4,5441,36,1,776,693,0,1220,11.3,16693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493150684931507,0.0493150684931507,0.0986301369863014,1.77534246575342,0.197260273972603,0.246575342465753,1.62739726027397,1.08493150684932,3.35342465753425,87.6,1.92287963940822,0.26358004329896,0.248324381276386,1.5832689592131,1.09056023427129,3.47979899513838,49.4731853337996,0.973665357033858,1.54157413645285,1.06184071986868,3.38815973100747,0.83827306143753,5.99157458732899,0.95,2.41038160077371
