"Player","cluster","League","Age","progressive_passes_per90","progressive_carries_per90","progression_index","padj_interceptions","padj_tackles"
"Abdel Abqar","2","La Liga",25,2.88672350791717,0.584652862362972,1.35250966577795,2.27534948615568,2.10032260260526
"Abdoulaye Niakhate Ndiaye","1","Ligue 1",22,2.05623901581722,0.263620386643234,0.866285443939312,1.05984123316653,4.72111094774182
"Aitor Paredes","2","La Liga",24,2.92307937223245,0.199189819350288,1.18214695213807,1.17849919579374,0.7587667938446
"Alberto Dossena","2","Serie A",24,2.69062814914343,0.27208599261001,1.19135907122232,1.42214123985981,1.73817262649533
"Aleksandar Sedlar","2","La Liga",31,2.47357293868922,0.570824524312896,1.16617452026507,1.97469548428522,2.12659513692254
"Alessio Romagnoli","2","Serie A",28,3.24761509746993,0.261302364164247,1.35413034260003,1.09226513072333,0.94160787131322
"Alidu Seidu","3","Ligue 1",23,2.62599469496021,1.27320954907162,1.52535128524033,5.12394455160489,6.55864902605428
"Amir Rrahmani","4","Serie A",30,4.96770405167352,0.792718731650029,2.19323896408177,0.799875188017677,1.15537527158109
"Andy Pelmard","3","Ligue 1",23,3.61324857811977,1.17430578788893,1.79428574894842,2.55926373368417,3.95522577023916
"Anthony Rouault","2","Ligue 1",23,3.33333333333333,0.277777777777778,1.35435150468616,0.767742440339731,1.1516136605096
"Antonio Raillo","4","La Liga",31,3.28018223234624,0.984054669703872,1.64679810043458,1.47722269375009,1.19774813006764
"Antonio Rüdiger","4","La Liga",31,3.69271060672196,0.785683107813182,1.7152704148367,0.365979195330334,0.813287100734075
"Ardian Ismajli","1","Serie A",27,1.36363636363636,0.107655502392345,0.56156438071335,2.30511190266429,1.23488137642729
"Aridane Hernández","1","La Liga",35,2.22746428055997,0.0878048780487805,0.900975713498861,0.771369399644672,1.01484369361173
"Arouna Sangante","4","Ligue 1",22,3.47266881028939,0.795819935691318,1.62109475326597,1.37313554539999,1.63468517309522
"Becir Omeragic","2","Ligue 1",22,2.55141745414119,1.05058365758755,1.35030491784081,0.73158493379706,1.80082445242353
"Benoît Badiashile","2","Premier League",22,3.09417040358744,0.201793721973094,1.32757749172319,1.17506368906275,1.37090763723988
"Botond Balogh","1","Serie A",22,1.62201656113005,0.306867998051632,0.730768908432137,0.893259736717577,1.28629402087332
"Caleb Okoli","4","Serie A",22,3.64447494852437,0.679478380233356,1.62642158410457,1.6392625957412,3.16547259867266
"Calvin Bassey","2","Premier League",23,2.42292661745549,0.586191923577942,1.11001941907428,1.1362575626679,1.98845073466883
"Cameron Burgess","2","Premier League",28,2.45295262816353,0.116807268007787,1.06260364319083,0.627898393212876,0.762448048901349
"Carl Starfelt","1","La Liga",29,2.08003069387236,0.319595970037691,0.924760365783233,1.53945193611286,1.79783536590108
"Catena","2","La Liga",28,2.73480662983425,0.177584846093133,1.1324840518715,0.573257832419436,1.26116723132276
"Chadi Riad","1","La Liga",20,1.41404805914972,0.166358595194085,0.603821323140622,1.12049215999324,1.7050967652071
"Chrislain Matsima","3","Ligue 1",21,3.43220338983051,0.991525423728814,1.61274580549993,2.55380870312701,3.53604281971431
"Christoph Zimmermann","2","Bundesliga",30,2.50819672131148,0.516393442622951,1.16883211023572,1.76370522029279,2.77153677474582
"Chumi","2","La Liga",24,2.51437962202136,0.406737880032868,1.11223401520495,0.578441809271349,1.40478725108756
"Clément Lenglet","4","La Liga",29,3.60547667342799,0.730223123732252,1.65052258242695,1.11129773064812,1.3638653967045
