"target","Player","similarity","Squad","League","Season","Age","scouting_score"
"Sead Kolašinac","Mario Gila",0.966781755824751,"Lazio","Serie A","2024-2025",23,3.54797218580258
"Sead Kolašinac","Javi Rodríguez",0.950436974042152,"Celta Vigo","La Liga","2024-2025",21,2.90261476520476
"Sead Kolašinac","César Azpilicueta",0.943495400166753,"Atlético Madrid","La Liga","2023-2024",33,3.51132185635473
"Sead Kolašinac","Lutsharel Geertruida",0.943127149302613,"RB Leipzig","Bundesliga","2024-2025",24,3.83355108162627
"Sead Kolašinac","Facundo Medina",0.938605037673355,"Lens","Ligue 1","2024-2025",25,4.11101417456911
"Sead Kolašinac","Mohamed Simakan",0.937085288668607,"RB Leipzig","Bundesliga","2023-2024",23,3.84262514333371
"Sead Kolašinac","Lisandro Martínez",0.914606821167384,"Manchester Utd","Premier League","2024-2025",26,3.59189023032735
"Sead Kolašinac","Nico Schlotterbeck",0.902222702440863,"Dortmund","Bundesliga","2024-2025",24,4.43997379604955
"Sead Kolašinac","Jan Paul Van Hecke",0.873402498611749,"Brighton","Premier League","2024-2025",24,3.4467725301133
"Sead Kolašinac","Jonathan Gradit",0.859748561072296,"Lens","Ligue 1","2024-2025",31,3.15060251815344
