"Player","Squad","League","Season","progression_index","progressive_passes_per90","progressive_carries_per90"
"Iñigo Martínez","Barcelona","La Liga","2024-2025",4.06789268505058,8.95956664702143,2.30684623003748
"Nico Schlotterbeck","Dortmund","Bundesliga","2024-2025",3.617557985466,8.36260900276898,1.52955742635507
"Sead Kolašinac","Atalanta","Serie A","2024-2025",3.16047273055513,6.40228579364733,2.18784779093973
"Eric García","Girona","La Liga","2023-2024",3.12667152412063,7.2540518119307,1.43460149868814
"Manuel Akanji","Manchester City","Premier League","2024-2025",3.09937763169814,6.73271589146607,1.85405571822951
"Jan Paul Van Hecke","Brighton","Premier League","2024-2025",3.00707412920163,6.71504558161424,1.56821335951512
"Facundo Medina","Lens","Ligue 1","2024-2025",2.78800166165692,5.95734950324805,1.51282942741008
"Lucas Martínez Quarta","Fiorentina","Serie A","2023-2024",2.7638640305618,6.67033832757072,0.868833517088421
"Daley Blind","Girona","La Liga","2023-2024",2.74956059941692,6.14510545877697,1.37085013859002
"Rúben Dias","Manchester City","Premier League","2024-2025",2.74730723670116,6.10359972062361,1.56719987297142
"Dayot Upamecano","Bayern Munich","Bundesliga","2024-2025",2.70178044863759,6.6440201532509,0.831623731389504
"Kim Min-Jae","Bayern Munich","Bundesliga","2024-2025",2.68097571282126,6.83726834748427,0.630512275239936
"Danilo Pereira","Paris S-G","Ligue 1","2023-2024",2.67559943373085,6.37988890488647,1.17282136406181
"Daniel Vivian","Athletic Club","La Liga","2024-2025",2.65795426838286,6.17252822298017,1.17318216240875
"Marquinhos","Paris S-G","Ligue 1","2023-2024",2.65472223516634,6.30012597528595,0.978611206840657
"Edmond Tapsoba","Leverkusen","Bundesliga","2024-2025",2.65239313703966,5.703472268236,1.72227046268614
"Pau Cubarsí","Barcelona","La Liga","2024-2025",2.60272235593185,6.34265625497837,0.864049860810587
"César Azpilicueta","Atlético Madrid","La Liga","2023-2024",2.54318888671696,4.68418542878584,2.11954059757884
"Adam Webster","Brighton","Premier League","2023-2024",2.53003609203899,5.86337546605988,1.11728852625626
"Lisandro Martínez","Manchester Utd","Premier League","2024-2025",2.49514059554955,5.74555763217526,1.09414414641771
