"Player","Squad","Season","mahalanobis_d2"
"Woyo Coulibaly","Parma","2024-2025",46.095292761912
"Alidu Seidu","Clermont Foot","2023-2024",31.2337859311409
"César Azpilicueta","Atlético Madrid","2023-2024",29.9502925660608
"Iñigo Martínez","Barcelona","2024-2025",26.0724972391534
"Nicolás Valentini","Hellas Verona","2024-2025",24.5844485934925
"Omar Alderete","Getafe","2024-2025",24.2802116303788
"Nico Schlotterbeck","Dortmund","2024-2025",23.9532306883363
"Oumar Solet","Udinese","2024-2025",23.7280379944181
"Riccardo Calafiori","Bologna","2023-2024",21.9071753357034
"Myles Lewis-Skelly","Arsenal","2024-2025",21.8520102287659
"Lucas Martínez Quarta","Fiorentina","2023-2024",21.847624161515
"Robin Knoche","Union Berlin","2023-2024",21.5760780671443
"Tom Lockyer","Luton Town","2023-2024",21.4087222854865
"Mats Hummels","Roma","2024-2025",21.3119973298319
"Max Geschwill","Holstein Kiel","2024-2025",20.8126171931018
"Sead Kolašinac","Atalanta","2024-2025",20.8040903873694
"Arnau Martinez","Girona","2023-2024",19.7472400722532
"Strahinja Pavlović","Milan","2024-2025",19.1083564308712
"Max Rosenfelder","Freiburg","2024-2025",18.7224785733713
"Leonardo Balerdi","Marseille","2023-2024",18.3776046183057
