"Player","Squad","League","Age","role_profile","scouting_score","progression_index","defending_score","pass_completion"
"Eduardo Camavinga","Real Madrid","La Liga",21,"Elite Progressive CB",4.98915610022979,2.49300216372183,12.3415174491369,89.5
"Soungoutou Magassa","Monaco","Ligue 1",19,"Elite Progressive CB",4.78922274703089,1.77672365806756,12.6374442793462,87.3
"Alidu Seidu","Clermont Foot","Ligue 1",23,"Defensive Stopper",4.69203056232951,1.28627799733571,13.0503978779841,82.4
"Nico Schlotterbeck","Dortmund","Bundesliga",23,"Elite Progressive CB",4.59318155634986,2.31147854984633,11.3326337880378,88.8
"Moisés Caicedo","Chelsea","Premier League",22,"Elite Progressive CB",4.30397073846865,2.1895264433068,10.5282005371531,89.7
"Riccardo Calafiori","Bologna","Serie A",21,"Elite Progressive CB",4.2632767167938,1.57212282646726,11.1494252873563,89.6
"Dayot Upamecano","Bayern Munich","Bundesliga",25,"Elite Progressive CB",4.20753418624847,2.32034508188686,10.0704871783124,93.25
"Tim Siersleben","Heidenheim","Bundesliga",23,"Elite Progressive CB",4.13687279296736,1.75136879560522,10.5824175824176,81.6
"Leonardo Balerdi","Marseille","Ligue 1",25,"Elite Progressive CB",4.11000468788669,1.46723302020822,10.8938715993447,89.95
"Denis Zakaria","Monaco","Ligue 1",26,"Elite Progressive CB",4.09374030608994,1.73451676896841,10.5287786616752,91.3
"Valentin Rongier","Marseille","Ligue 1",29,"Elite Progressive CB",4.07103183338549,2.37369257962251,9.73751600512164,90.3
"Lucas Martínez Quarta","Fiorentina","Serie A",27,"Elite Progressive CB",4.05572548916787,2.31213705334307,9.66390222610214,81.7
"Timo Hübers","Köln","Bundesliga",27,"Defensive Stopper",4.01944732451359,1.15243310610038,11.0799136069114,84.5
"Leon Goretzka","Bayern Munich","Bundesliga",29,"Elite Progressive CB",3.95172050790834,3.36823051505386,8.01509433962264,89.9
"Pathé Ciss","Rayo Vallecano","La Liga",30,"Elite Progressive CB",3.94824728749623,1.90840092902096,9.96728971962617,84.7
"Warren Zaïre-Emery","Paris S-G","Ligue 1",18,"Elite Progressive CB",3.94409042973808,2.61023239566987,8.69232490490042,92.3
"Kim Min-Jae","Bayern Munich","Bundesliga",27,"Elite Progressive CB",3.91693679013749,2.00480603795837,9.5745479165138,92.65
"Wilfried Singo","Monaco","Ligue 1",23,"Elite Progressive CB",3.85489688472643,1.9512269446405,9.36068702290076,86.2
"Joseph Okumu","Reims","Ligue 1",27,"Elite Progressive CB",3.84636736266533,1.75161801673445,9.71306718657182,81.8
"Sead Kolašinac","Atalanta","Serie A",31,"Elite Progressive CB",3.83751397693707,2.25466134562935,9.21583146228443,85.9
"Giorgio Scalvini","Atalanta","Serie A",19,"Elite Progressive CB",3.83069615779154,1.5769102057996,9.72877358490566,81.3
"Emre Can","Dortmund","Bundesliga",30,"Elite Progressive CB",3.82279878997407,1.96203992046753,9.46510940595685,88.45
