"metric","exposure_quartile","mean_abs_shrink"
"interceptions",1,0.17
"interceptions",2,0.1126
"interceptions",3,0.0965
"interceptions",4,0.0672
"key_passes",1,0.0823
"key_passes",2,0.0757
"key_passes",3,0.0519
"key_passes",4,0.0408
"progressive_carries",1,0.0868
"progressive_carries",2,0.0635
"progressive_carries",3,0.0424
"progressive_carries",4,0.0304
"progressive_passes",1,0.1417
"progressive_passes",2,0.112
"progressive_passes",3,0.0993
"progressive_passes",4,0.0592
"recoveries",1,0.2242
"recoveries",2,0.1675
"recoveries",3,0.1444
"recoveries",4,0.1041
"tackles",1,0.2002
"tackles",2,0.1372
"tackles",3,0.1073
"tackles",4,0.0792
