"Player","Squad","League","Season","Age","scouting_score","progression_index","defending_score","pass_completion"
"Sead Kolašinac","Atalanta","Serie A","2024-2025",31,4.74733768987994,3.16047273055513,10.752161992193,87.5
"Riccardo Calafiori","Bologna","Serie A","2023-2024",21,4.64788681865141,1.77286002377527,12.1638093638044,89.6
"Timo Hübers","Köln","Bundesliga","2023-2024",27,4.5641306980829,1.45667387397199,12.356537161647,84.5
"Nico Schlotterbeck","Dortmund","Bundesliga","2024-2025",24,4.43997379604955,3.617557985466,9.0125020062105,89.2
"Wilfried Singo","Monaco","Ligue 1","2024-2025",23,4.3536771633929,2.28565578012189,10.5107161711471,86.2
"Giorgio Scalvini","Atalanta","Serie A","2023-2024",19,4.33290151376255,1.86694331908057,11.0160806204344,81.3
"Lucas Martínez Quarta","Fiorentina","Serie A","2023-2024",27,4.13242173960211,2.7638640305618,9.1839204245913,81.7
"Facundo Medina","Lens","Ligue 1","2024-2025",25,4.11101417456911,2.78800166165692,9.06071169968781,87.6
"Mohammed Salisu","Monaco","Ligue 1","2024-2025",25,4.00491123629633,2.25756415201666,9.42161858496556,85.4
"Alidu Seidu","Clermont Foot","Ligue 1","2023-2024",23,3.9929463632273,1.43888275871315,10.4499775324735,82.4
"Jhon Lucumí","Bologna","Serie A","2024-2025",26,3.98089800535339,1.75724106554906,9.9896719304459,91.1
"Daniel Vivian","Athletic Club","La Liga","2024-2025",25,3.96545958573405,2.65795426838286,8.75059292793636,87.1
"Mohamed Simakan","RB Leipzig","Bundesliga","2023-2024",23,3.84262514333371,2.12428174322449,9.02437482014638,85.6
"Leonardo Balerdi","Marseille","Ligue 1","2023-2024",24,3.83410474507742,1.97154466133381,9.19795626847966,86.1
"Lutsharel Geertruida","RB Leipzig","Bundesliga","2024-2025",24,3.83355108162627,2.30626710289254,8.74781413489751,86.7
"Thilo Kehrer","Monaco","Ligue 1","2024-2025",27,3.81609473742945,2.05999050485772,9.04066178495454,89.9
"Dayot Upamecano","Bayern Munich","Bundesliga","2024-2025",25,3.78917850624784,2.70178044863759,8.08188775597601,93.9
"Castello Lukeba","RB Leipzig","Bundesliga","2023-2024",20,3.77060502565985,1.88213417731835,9.08717118244169,91.6
"Jarell Quansah","Liverpool","Premier League","2023-2024",20,3.74897548838084,2.07385536879359,8.76944446954468,88.6
"Tom Lockyer","Luton Town","Premier League","2023-2024",28,3.72309032230131,1.26547740179339,9.85199787194652,71.3
"Amari'I Bell","Luton Town","Premier League","2023-2024",29,3.70834567181421,1.99218914173947,8.88090005039476,77.2
"Mika Mármol","Las Palmas","La Liga","2023-2024",22,3.70179608900257,1.78931639350604,8.99289843866717,88.2
"Kim Min-Jae","Bayern Munich","Bundesliga","2024-2025",27,3.70160623905608,2.68097571282126,7.82238651309193,92.5
"Robin Knoche","Union Berlin","Bundesliga","2023-2024",31,3.66867895242267,1.28238948361786,9.68341052991843,80.7
"Unai Núñez","Celta Vigo","La Liga","2023-2024",26,3.66303304119564,1.39885059636194,9.44597600883622,79.7
