"block","variable","VIF","colinealidad"
"Inputs del progression_index","progressive_passes_per90",1.76,"aceptable"
"Inputs del progression_index","progressive_carries_per90",1.77,"aceptable"
"Inputs del progression_index","key_passes_per90",1.29,"aceptable"
"Inputs del defending_score (PAdj)","padj_tackles",1.51,"aceptable"
"Inputs del defending_score (PAdj)","padj_interceptions",1.45,"aceptable"
"Inputs del defending_score (PAdj)","padj_recoveries",1.34,"aceptable"
"Pilares del scouting_score","progression_index",1.13,"aceptable"
"Pilares del scouting_score","defending_score",1.1,"aceptable"
"Pilares del scouting_score","pass_completion",1.13,"aceptable"
"Pilares del scouting_score","age_score",1.01,"aceptable"
