"replication","spearman_corr","top10_overlap"
1,0.978229078634758,0.9
2,0.987649664627352,0.9
3,0.993417853458421,0.9
4,0.976964623009248,0.9
5,0.999561427553314,1
6,0.998085873339423,1
7,0.999561427553314,1
8,0.994521226265648,0.9
9,0.999325766060046,0.9
10,0.970496035404757,0.8
11,0.997867833060531,1
12,0.985485281124226,0.9
13,0.851057842437153,0.5
14,0.993388306775731,0.9
15,0.99972464627637,1
16,0.998170419570014,1
17,0.992474673509156,0.9
18,0.991252579994974,0.9
19,0.986026377000008,0.9
20,0.965233878012783,0.8
21,0.989331867628014,0.9
22,0.999398742806451,1
23,0.99165679997323,0.9
24,0.987609972396991,0.9
25,0.998558798254539,1
26,0.969867723417419,0.8
27,0.999466379790923,1
28,0.982626550577869,0.9
29,0.994161326311428,0.9
30,0.981515702103937,1
31,0.931320871990243,0.8
32,0.99613792818661,0.9
33,0.932231479391723,0.8
34,0.991186366947016,0.9
35,0.963821688973819,0.9
36,0.994166132097167,0.9
37,0.989149247769938,0.9
38,0.999387529306393,1
39,0.98616111699276,0.9
40,0.995726766517842,0.9
41,0.9982579916657,0.9
42,0.98778422662804,0.9
43,0.968354790870004,0.9
44,0.993452383918915,0.9
45,0.995807218930951,0.9
46,0.992693959732499,0.9
47,0.991141512946787,0.9
48,0.947241372190662,0.8
49,0.991213421740805,0.9
50,0.983511527122075,0.9
51,0.99123584874092,0.9
52,0.991671039338382,0.9
53,0.998623231381852,1
54,0.920564811538442,0.7
55,0.997484794137938,1
56,0.996018851495525,0.9
57,0.998836999851199,1
58,0.959308344196782,0.8
59,0.949879392577161,0.8
60,0.903637410229702,0.7
61,0.960792976005958,0.9
62,0.979573630689249,0.9
63,0.996418621672171,0.9
64,0.876014465771058,0.6
65,0.974993004911869,0.9
66,0.983445136082053,0.9
67,0.999128550852689,0.9
68,0.997269423740012,0.9
69,0.993791102817472,1
70,0.998228444983009,0.9
71,0.980524286305219,0.9
72,0.997086269905743,0.9
73,0.98141513658755,0.9
74,0.966667604091539,0.8
75,0.966111556882348,0.8
76,0.996548021902992,0.9
77,0.96508294074217,0.8
78,0.964848703185417,0.8
79,0.994014838842425,0.9
80,0.964474741858109,0.9
81,0.950884869748967,0.8
82,0.995761652962464,0.9
83,0.991726216878347,0.9
84,0.996786175285161,1
85,0.919008626919377,0.7
86,0.999194051932389,1
87,0.986968666988951,0.9
