"Player","Squad","League","progression_index","progressive_passes_per90","progressive_carries_per90"
"Leon Goretzka","Bayern Munich","Bundesliga",3.36823051505386,8.62641509433962,2.37735849056604
"Iñigo Martínez","Barcelona","La Liga",3.05532699668952,8.06685073627845,2.41089357429719
"Warren Zaïre-Emery","Paris S-G","Ligue 1",2.61023239566987,5.62396509286194,2.3141418661893
"Curtis Jones","Liverpool","Premier League",2.57338380126294,6.15070093457944,1.57710280373832
"Marquinhos","Paris S-G","Ligue 1",2.50125327142016,7.27680122203049,1.28352238974852
"Eduardo Camavinga","Real Madrid","La Liga",2.49300216372183,5.11613197398636,2.27524478933085
"Edmond Tapsoba","Leverkusen","Bundesliga",2.47628096819753,6.47993380871843,1.98992700649012
"Piero Hincapié","Leverkusen","Bundesliga",2.46573006062731,6.18598382749326,2.06199460916442
"Manuel Akanji","Manchester City","Premier League",2.4130096759447,6.18261773321516,1.85217812231939
"Valentin Rongier","Marseille","Ligue 1",2.37369257962251,6.33802816901408,1.4404609475032
"Eric García","Girona","La Liga",2.36024299977958,6.90351496606645,1.28515946804755
"Dayot Upamecano","Bayern Munich","Bundesliga",2.32034508188686,7.00369721729468,1.15000267797395
"Lucas Martínez Quarta","Fiorentina","Serie A",2.31213705334307,6.95329550414666,0.903535573985159
"Nico Schlotterbeck","Dortmund","Bundesliga",2.31147854984633,5.85519412381952,1.73137460650577
"Sead Kolašinac","Atalanta","Serie A",2.25466134562935,5.30000477714613,1.8907944394019
"Jan Paul Van Hecke","Brighton","Premier League",2.22532928909345,6.26087727124445,1.31159791320787
"Woyo Coulibaly","Parma","Serie A",2.22186779777637,3.40405904059041,2.98892988929889
"Adam Webster","Brighton","Premier League",2.20461740830953,6.29370629370629,1.25874125874126
"Rúben Dias","Manchester City","Premier League",2.19121142018118,6.21261349716054,1.44993735684607
"Moisés Caicedo","Chelsea","Premier League",2.1895264433068,5.77439570277529,1.15487914055506
