"Player","Squad","Age","Ball_Progression","Defensive_Intensity","Creative_Involvement","Passing_Security","Modern_CB_Score"
"Nico Schlotterbeck","Dortmund",24,6.70232088799193,2.85847628657921,0.817356205852674,89.2,12.7239984863774
"Dayot Upamecano","Bayern Munich",25,5.16770892552587,2.82177373507675,0.358158044343377,93.9,12.4984280841387
"Kim Min-Jae","Bayern Munich",27,5.18396846254928,2.56636005256242,0.236530880420499,92.5,12.2572930354796
"Lucas Beraldo","Paris S-G",20,4.22476379910492,2.33391347588265,0.358030830432621,94.4,12.0004798607658
"Pau Cubarsí","Barcelona",17,4.86440030557678,1.56760886172651,0.309396485867074,93.5,11.890832696715
"Rúben Dias","Manchester City",27,4.94980184940555,1.31373844121532,0.198150594451783,93.5,11.8194517833553
"Leonardo Balerdi","Marseille",25,3.06467223933128,3.00725912890453,0.316761988561373,93.8,11.7059238891333
"Alexsandro Ribeiro","Lille",24,4.40333333333333,2.20833333333333,0.3,91.2,11.69925
"Lisandro Martínez","Manchester Utd",26,4.5642490005711,2.45945174186179,0.462592804111936,89.4,11.6958966304969
"Mario Gila","Lazio",23,4.08135716891645,2.34439985406786,0.492520977745348,91.6,11.6869609631521
"Jan Paul Van Hecke","Brighton",24,5.3580121703854,1.8316430020284,0.456389452332657,88.2,11.672738336714
"Daniel Vivian","Athletic Club",25,4.84164110429448,2.5226226993865,0.345092024539877,87.1,11.581338190184
"Emmanuel Agbadou","Reims",27,4.06428571428571,2.72857142857143,0.571428571428571,87.9,11.4564285714286
"Jonathan Tah","Leverkusen",28,3.72121212121212,1.83636363636364,0.121212121212121,92.9,11.4393939393939
"Yann Aurel Bisseck","Inter",23,4.09190505173463,1.60225197808886,0.383444917833232,91.8,11.4350669506999
